교통수단별,기준연월,목적,성별,연령,인원수
기타공항,2023-08-31,공용,남성,20세 이하,38
기타항구,2023-08-31,공용,남성,20세 이하,0
김포,2023-08-31,공용,남성,20세 이하,10
김해,2023-08-31,공용,남성,20세 이하,22
부산,2023-08-31,공용,남성,20세 이하,1
인천공항,2023-08-31,공용,남성,20세 이하,445
기타공항,2023-08-31,관광,남성,20세 이하,1049
기타항구,2023-08-31,관광,남성,20세 이하,891
김포,2023-08-31,관광,남성,20세 이하,4648
김해,2023-08-31,관광,남성,20세 이하,5018
부산,2023-08-31,관광,남성,20세 이하,1809
인천,2023-08-31,관광,남성,20세 이하,51
인천공항,2023-08-31,관광,남성,20세 이하,43449
제주공항,2023-08-31,관광,남성,20세 이하,5878
제주항,2023-08-31,관광,남성,20세 이하,7
기타공항,2023-08-31,기타,남성,20세 이하,8
기타항구,2023-08-31,기타,남성,20세 이하,36
김포,2023-08-31,기타,남성,20세 이하,143
김해,2023-08-31,기타,남성,20세 이하,177
부산,2023-08-31,기타,남성,20세 이하,5
인천공항,2023-08-31,기타,남성,20세 이하,2973
제주공항,2023-08-31,기타,남성,20세 이하,28
김해,2023-08-31,상용,남성,20세 이하,1
인천공항,2023-08-31,상용,남성,20세 이하,29
기타공항,2023-08-31,유학연수,남성,20세 이하,62
기타항구,2023-08-31,유학연수,남성,20세 이하,4
김포,2023-08-31,유학연수,남성,20세 이하,160
김해,2023-08-31,유학연수,남성,20세 이하,392
부산,2023-08-31,유학연수,남성,20세 이하,6
인천,2023-08-31,유학연수,남성,20세 이하,4
인천공항,2023-08-31,유학연수,남성,20세 이하,4109
제주공항,2023-08-31,유학연수,남성,20세 이하,20
기타공항,2023-08-31,공용,남성,21~30세,5
기타항구,2023-08-31,공용,남성,21~30세,0
김포,2023-08-31,공용,남성,21~30세,3
김해,2023-08-31,공용,남성,21~30세,6
부산,2023-08-31,공용,남성,21~30세,2
인천공항,2023-08-31,공용,남성,21~30세,176
제주공항,2023-08-31,공용,남성,21~30세,1
기타공항,2023-08-31,관광,남성,21~30세,537
기타항구,2023-08-31,관광,남성,21~30세,220
김포,2023-08-31,관광,남성,21~30세,4432
김해,2023-08-31,관광,남성,21~30세,4417
부산,2023-08-31,관광,남성,21~30세,959
인천,2023-08-31,관광,남성,21~30세,38
인천공항,2023-08-31,관광,남성,21~30세,46073
제주공항,2023-08-31,관광,남성,21~30세,4971
제주항,2023-08-31,관광,남성,21~30세,8
기타공항,2023-08-31,기타,남성,21~30세,86
기타항구,2023-08-31,기타,남성,21~30세,49
김포,2023-08-31,기타,남성,21~30세,275
김해,2023-08-31,기타,남성,21~30세,870
부산,2023-08-31,기타,남성,21~30세,11
인천,2023-08-31,기타,남성,21~30세,1
인천공항,2023-08-31,기타,남성,21~30세,13568
제주공항,2023-08-31,기타,남성,21~30세,78
기타공항,2023-08-31,상용,남성,21~30세,10
기타항구,2023-08-31,상용,남성,21~30세,3
김포,2023-08-31,상용,남성,21~30세,47
김해,2023-08-31,상용,남성,21~30세,50
부산,2023-08-31,상용,남성,21~30세,1
인천공항,2023-08-31,상용,남성,21~30세,1076
기타공항,2023-08-31,유학연수,남성,21~30세,265
기타항구,2023-08-31,유학연수,남성,21~30세,2
김포,2023-08-31,유학연수,남성,21~30세,788
김해,2023-08-31,유학연수,남성,21~30세,1072
부산,2023-08-31,유학연수,남성,21~30세,17
인천,2023-08-31,유학연수,남성,21~30세,13
인천공항,2023-08-31,유학연수,남성,21~30세,16422
제주공항,2023-08-31,유학연수,남성,21~30세,92
기타공항,2023-08-31,공용,남성,31~40세,14
기타항구,2023-08-31,공용,남성,31~40세,1
김포,2023-08-31,공용,남성,31~40세,27
김해,2023-08-31,공용,남성,31~40세,31
인천공항,2023-08-31,공용,남성,31~40세,491
기타공항,2023-08-31,관광,남성,31~40세,567
기타항구,2023-08-31,관광,남성,31~40세,440
김포,2023-08-31,관광,남성,31~40세,5654
김해,2023-08-31,관광,남성,31~40세,4850
부산,2023-08-31,관광,남성,31~40세,802
인천,2023-08-31,관광,남성,31~40세,148
인천공항,2023-08-31,관광,남성,31~40세,45097
제주공항,2023-08-31,관광,남성,31~40세,5460
제주항,2023-08-31,관광,남성,31~40세,5
기타공항,2023-08-31,기타,남성,31~40세,129
기타항구,2023-08-31,기타,남성,31~40세,119
김포,2023-08-31,기타,남성,31~40세,534
김해,2023-08-31,기타,남성,31~40세,1625
부산,2023-08-31,기타,남성,31~40세,16
인천,2023-08-31,기타,남성,31~40세,4
인천공항,2023-08-31,기타,남성,31~40세,16059
제주공항,2023-08-31,기타,남성,31~40세,130
기타공항,2023-08-31,상용,남성,31~40세,32
기타항구,2023-08-31,상용,남성,31~40세,4
김포,2023-08-31,상용,남성,31~40세,233
김해,2023-08-31,상용,남성,31~40세,192
부산,2023-08-31,상용,남성,31~40세,9
인천,2023-08-31,상용,남성,31~40세,1
인천공항,2023-08-31,상용,남성,31~40세,2436
제주공항,2023-08-31,상용,남성,31~40세,27
기타공항,2023-08-31,유학연수,남성,31~40세,28
김포,2023-08-31,유학연수,남성,31~40세,50
김해,2023-08-31,유학연수,남성,31~40세,137
부산,2023-08-31,유학연수,남성,31~40세,5
인천,2023-08-31,유학연수,남성,31~40세,5
인천공항,2023-08-31,유학연수,남성,31~40세,1620
제주공항,2023-08-31,유학연수,남성,31~40세,12
기타공항,2023-08-31,공용,남성,41~50세,13
기타항구,2023-08-31,공용,남성,41~50세,0
김포,2023-08-31,공용,남성,41~50세,37
김해,2023-08-31,공용,남성,41~50세,46
