순위,검색 키워드,영상 제목,채널명,업로드 날짜,조회수,좋아요수,댓글수,조회수_log
1,韓国旅行,2泊3日韓国旅行で5000万ウォン使い切れるまで帰れませんw【ヒカキンTVスペシャル】,HikakinTV,2023-03-28,16749518,119657,5642,16.633880099405115
2,韓国旅行,【意外と日本人知らない⁉️】韓国で「やってはいけないこと」5選 #韓国 #韓国旅行 #韓国人 #shorts #short,きばるん 키바룬,2023-05-12,6948178,179065,2209,15.75399016882072
3,ソウル観光,【意外と日本人知らない⁉️】韓国で「やってはいけないこと」5選 #韓国 #韓国旅行 #韓国人 #shorts #short,きばるん 키바룬,2023-05-12,6948178,179065,2209,15.75399016882072
4,韓国旅行,【日本人の8割は知らない⁉️】日韓別「トイレ行く時」の違い　#韓国 #韓国旅行 #韓国人 #shorts #short,きばるん 키바룬,2024-08-27,6472718,51033,1613,15.683106825493129
5,韓国旅行,【爆笑】仲良し4人組が韓国旅行で朝まで大暴れwww,平成フラミンゴ,2023-07-21,5816083,60549,2306,15.576137741007289
6,韓国旅行,親友に右左どっちで韓国旅行プレゼントしてみたww,ブルーシー【Blue  Sea】,2024-09-21,5448883,153295,769,15.510921375028854
7,韓国ファッション,韓国好きで美容整形を繰り返す白人女性が話題に、、、#kpop #韓国 #ive #wonyoung,KPOP総書記,2025-04-21,5186376,37682,1591,15.461545938157785
8,韓国女子旅,【最終回】ソウル生まれの韓国人が初めて日本の東京にきたら驚きの連続だった3泊4日！,ジュジュワールドJUJUWORLD,2024-04-14,4806037,38091,1510,15.38538360203048
9,韓国旅行,韓国から日本に帰って気付いたこと #韓国 #韓国旅行 #shorts,きむあずまの韓国チャンネル,2023-09-12,4680905,36422,651,15.359002238901343
10,韓国旅行,平フラととうあと韓国旅行が楽しすぎたwww,中町綾チャンネル,2023-06-10,4645818,44695,907,15.35147823330995
11,韓国旅行,㊗️４００万再生㊗️韓国に負けた？春節25万人が韓国へ、それでも日本は消費額最高更新の訳 #春節 #中国人観光客 #韓国旅行,ザッツ雑学ニュース,2026-02-03,4456371,108276,1409,15.309845540049094
