시도명,시군구명,절대비율_글로벌,절대비율_일본,갭,갭방향,군집,군집명
강원특별자치도,양양군,0.086184,0.02376,0.062424,글로벌↑,0,균형 지역
강원특별자치도,양양군,0.086184,0.035306,0.050878,글로벌↑,0,균형 지역
강원특별자치도,양양군,0.086184,0.04087,0.045314,글로벌↑,0,균형 지역
강원특별자치도,고성군,0.056808,0.02314,0.033668,글로벌↑,0,균형 지역
강원특별자치도,고성군,0.056808,0.020124,0.036684,글로벌↑,0,균형 지역
강원특별자치도,고성군,0.056808,0.019598,0.03721,글로벌↑,0,균형 지역
강원특별자치도,고성군,0.056808,0.017952,0.038856,글로벌↑,0,균형 지역
강원특별자치도,고성군,0.056808,0.018796,0.038012,글로벌↑,0,균형 지역
강원특별자치도,고성군,0.056808,0.0200079999999999,0.0368,글로벌↑,0,균형 지역
강원특별자치도,인제군,0.044496,0.026004,0.018492,글로벌↑,0,균형 지역
강원특별자치도,인제군,0.044496,0.0219709999999999,0.022525,글로벌↑,0,균형 지역
강원특별자치도,인제군,0.044496,0.020374,0.024122,글로벌↑,0,균형 지역
강원특별자치도,양구군,0.01512,0.001716,0.013404,글로벌↑,0,균형 지역
강원특별자치도,양구군,0.01512,0.0059689999999999,0.009151,글로벌↑,0,균형 지역
강원특별자치도,양구군,0.01512,0.012322,0.002798,글로벌↑,0,균형 지역
강원특별자치도,화천군,0.02484,0.00594,0.0189,글로벌↑,0,균형 지역
강원특별자치도,화천군,0.02484,0.004318,0.020522,글로벌↑,0,균형 지역
강원특별자치도,화천군,0.02484,0.00732,0.01752,글로벌↑,0,균형 지역
강원특별자치도,철원군,0.03132,0.01716,0.0141599999999999,글로벌↑,0,균형 지역
강원특별자치도,철원군,0.03132,0.01524,0.01608,글로벌↑,0,균형 지역
강원특별자치도,철원군,0.03132,0.018666,0.0126539999999999,글로벌↑,0,균형 지역
강원특별자치도,정선군,0.05076,0.056232,-0.0054719999999999,일본↑,0,균형 지역
강원특별자치도,정선군,0.05076,0.036322,0.014438,글로벌↑,0,균형 지역
강원특별자치도,정선군,0.05076,0.034526,0.016234,글로벌↑,0,균형 지역
강원특별자치도,평창군,0.196992,0.2315279999999999,-0.0345359999999999,일본↑,0,균형 지역
강원특별자치도,평창군,0.196992,0.139827,0.0571649999999999,글로벌↑,0,균형 지역
강원특별자치도,평창군,0.196992,0.141764,0.055228,글로벌↑,0,균형 지역
강원특별자치도,영월군,0.025704,0.024684,0.0010199999999999,글로벌↑,0,균형 지역
강원특별자치도,영월군,0.025704,0.0215899999999999,0.004114,글로벌↑,0,균형 지역
강원특별자치도,영월군,0.025704,0.022692,0.003012,글로벌↑,0,균형 지역
강원특별자치도,횡성군,0.107784,0.090024,0.0177599999999999,글로벌↑,0,균형 지역
강원특별자치도,횡성군,0.107784,0.0704849999999999,0.037299,글로벌↑,0,균형 지역
강원특별자치도,횡성군,0.107784,0.069052,0.038732,글로벌↑,0,균형 지역
강원특별자치도,홍천군,0.206712,0.078276,0.128436,글로벌↑,0,균형 지역
강원특별자치도,홍천군,0.206712,0.1823719999999999,0.02434,글로벌↑,0,균형 지역
강원특별자치도,홍천군,0.206712,0.09394,0.112772,글로벌↑,0,균형 지역
강원특별자치도,삼척시,0.080352,0.232056,-0.151704,일본↑,0,균형 지역
강원특별자치도,삼척시,0.080352,0.178689,-0.0983369999999999,일본↑,0,균형 지역
강원특별자치도,삼척시,0.080352,0.1686039999999999,-0.0882519999999999,일본↑,0,균형 지역
강원특별자치도,속초시,0.176688,0.040128,0.13656,글로벌↑,0,균형 지역
강원특별자치도,속초시,0.176688,0.05969,0.116998,글로벌↑,0,균형 지역
강원특별자치도,속초시,0.176688,0.0631959999999999,0.113492,글로벌↑,0,균형 지역
강원특별자치도,태백시,0.017064,0.0363,-0.019236,일본↑,0,균형 지역
강원특별자치도,태백시,0.017064,0.0262889999999999,-0.0092249999999999,일본↑,0,균형 지역
강원특별자치도,태백시,0.017064,0.0178119999999999,-0.0007479999999999,일본↑,0,균형 지역
강원특별자치도,동해시,0.087264,0.0297,0.0575639999999999,글로벌↑,0,균형 지역
강원특별자치도,동해시,0.087264,0.040132,0.0471319999999999,글로벌↑,0,균형 지역
강원특별자치도,동해시,0.087264,0.04758,0.039684,글로벌↑,0,균형 지역
강원특별자치도,강릉시,0.186624,0.123156,0.063468,글로벌↑,0,균형 지역
강원특별자치도,강릉시,0.186624,0.124714,0.06191,글로벌↑,0,균형 지역
강원특별자치도,강릉시,0.186624,0.1467659999999999,0.039858,글로벌↑,0,균형 지역
강원특별자치도,원주시,0.161784,0.191268,-0.029484,일본↑,0,균형 지역
강원특별자치도,원주시,0.161784,0.147066,0.014718,글로벌↑,0,균형 지역
강원특별자치도,원주시,0.161784,0.147864,0.01392,글로벌↑,0,균형 지역
강원특별자치도,춘천시,0.603288,0.094248,0.50904,글로벌↑,0,균형 지역
강원특별자치도,춘천시,0.603288,0.141097,0.462191,글로벌↑,0,균형 지역
강원특별자치도,춘천시,0.603288,0.1465219999999999,0.456766,글로벌↑,0,균형 지역
경기도,양평군,0.141564,0.095424,0.04614,글로벌↑,0,균형 지역
